locus_tag	ftype	length_bp	gene	EC_number	COG	product
GBJEOBOH_00141	CDS	690	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
GBJEOBOH_00142	CDS	777	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
GBJEOBOH_00143	CDS	621	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
GBJEOBOH_00144	CDS	510	rsgA_1	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
GBJEOBOH_00145	CDS	444	rsgA_2	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
GBJEOBOH_00146	CDS	1362	bioK	2.6.1.105	COG0161	L-Lysine--8-amino-7-oxononanoate transaminase
GBJEOBOH_00147	CDS	162				hypothetical protein
GBJEOBOH_00148	CDS	741				hypothetical protein
GBJEOBOH_00149	CDS	213				hypothetical protein
GBJEOBOH_00150	CDS	120				hypothetical protein
GBJEOBOH_00151	CDS	663	nth_1	4.2.99.18		Endonuclease III
GBJEOBOH_00152	CDS	744				hypothetical protein
GBJEOBOH_00153	CDS	1509	yidC			Membrane protein insertase YidC
GBJEOBOH_00154	CDS	144				hypothetical protein
GBJEOBOH_00155	CDS	300	atpH			ATP synthase subunit c
GBJEOBOH_00156	CDS	408				Universal stress protein Aq_178
GBJEOBOH_00157	CDS	651	atpB		COG0356	ATP synthase subunit a
GBJEOBOH_00158	CDS	762	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
GBJEOBOH_00159	CDS	747				hypothetical protein
GBJEOBOH_00160	CDS	1194				hypothetical protein
GBJEOBOH_00161	CDS	231	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
GBJEOBOH_00162	CDS	330	gmk	2.7.4.8		Guanylate kinase
GBJEOBOH_00163	CDS	474	hldE_1		COG2870	Bifunctional protein HldE
GBJEOBOH_00164	CDS	1431	safD	1.2.1.73	COG1012	Sulfoacetaldehyde dehydrogenase
GBJEOBOH_00165	CDS	1353	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
GBJEOBOH_00166	CDS	465				hypothetical protein
GBJEOBOH_00167	CDS	1023	trpD_1	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
GBJEOBOH_00168	CDS	1203				hypothetical protein
GBJEOBOH_00169	CDS	1224				hypothetical protein
GBJEOBOH_00170	CDS	627				hypothetical protein
GBJEOBOH_00171	CDS	609	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
GBJEOBOH_00172	CDS	1182	atpG_1			ATP synthase gamma chain
GBJEOBOH_00173	CDS	882	kaiC	2.7.11.1		Circadian clock protein kinase KaiC
GBJEOBOH_00174	CDS	3009	norW	1.18.1.-		Nitric oxide reductase FlRd-NAD(+) reductase
GBJEOBOH_00175	CDS	735	sumT	2.1.1.107	COG0007	Uroporphyrinogen-III C-methyltransferase
GBJEOBOH_00176	CDS	930	trpD_2	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
GBJEOBOH_00177	CDS	420	vhb			Bacterial hemoglobin
GBJEOBOH_00178	CDS	450	cynS	4.2.1.104		Cyanate hydratase
GBJEOBOH_00179	CDS	618				hypothetical protein
GBJEOBOH_00180	CDS	1428	nasA			Nitrate transporter
GBJEOBOH_00181	CDS	2001	narB	1.7.5.1	COG0243	Nitrate reductase
GBJEOBOH_00182	CDS	1521	vnfA		COG3604	Nitrogen fixation protein VnfA
GBJEOBOH_00183	CDS	453	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
GBJEOBOH_00184	CDS	2328	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
GBJEOBOH_00185	CDS	273	rpsO			30S ribosomal protein S15
GBJEOBOH_00186	CDS	2088	iorB	1.3.99.16		Isoquinoline 1-oxidoreductase subunit beta
GBJEOBOH_00187	CDS	198	iorA	1.3.99.16		Isoquinoline 1-oxidoreductase subunit alpha
GBJEOBOH_00188	CDS	1347	atoC_3		COG2204	Regulatory protein AtoC
GBJEOBOH_00189	CDS	1020	kinA	2.7.13.3	COG0642	Sporulation kinase A
GBJEOBOH_00190	CDS	1311	fccB_1	1.8.2.3	COG0446	Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain
GBJEOBOH_00191	CDS	717				hypothetical protein
GBJEOBOH_00192	CDS	1254	fccB_2	1.8.2.3	COG0446	Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain
GBJEOBOH_00193	CDS	1533	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
GBJEOBOH_00194	CDS	516	yojM_1		COG2032	Superoxide dismutase-like protein YojM
GBJEOBOH_00195	CDS	555	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
GBJEOBOH_00196	CDS	903				hypothetical protein
GBJEOBOH_00197	CDS	2388	lon	3.4.21.53	COG0466	Lon protease
GBJEOBOH_00198	CDS	1488				hypothetical protein
GBJEOBOH_00199	CDS	1095	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
	repeat_region	308				
GBJEOBOH_00200	CDS	1098	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
GBJEOBOH_00201	CDS	840				hypothetical protein
GBJEOBOH_00202	CDS	1437	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
GBJEOBOH_00203	CDS	438	dksA_1			RNA polymerase-binding transcription factor DksA
GBJEOBOH_00204	CDS	681	ogg		COG1059	putative N-glycosylase/DNA lyase
GBJEOBOH_00205	CDS	420				hypothetical protein
GBJEOBOH_00206	CDS	486	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
GBJEOBOH_00207	CDS	180				hypothetical protein
GBJEOBOH_00208	CDS	408	speH	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
GBJEOBOH_00209	CDS	486				hypothetical protein
GBJEOBOH_00210	CDS	429				hypothetical protein
GBJEOBOH_00211	CDS	1278	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
GBJEOBOH_00212	CDS	1014	nusA			Transcription termination/antitermination protein NusA
GBJEOBOH_00213	CDS	477	rimP		COG0779	Ribosome maturation factor RimP
GBJEOBOH_00214	CDS	195				hypothetical protein
GBJEOBOH_00215	CDS	570	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
GBJEOBOH_00216	CDS	216				hypothetical protein
GBJEOBOH_00217	CDS	228				hypothetical protein
GBJEOBOH_00218	CDS	192				hypothetical protein
GBJEOBOH_00219	tRNA	92				tRNA-Ser(gga)
GBJEOBOH_00220	CDS	915	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
GBJEOBOH_00221	CDS	654	lipM_1	2.3.1.181	COG0095	Octanoyltransferase LipM
GBJEOBOH_00222	CDS	1017				hypothetical protein
GBJEOBOH_00223	CDS	1137				hypothetical protein
GBJEOBOH_00224	CDS	435	iscR		COG1959	HTH-type transcriptional regulator IscR
GBJEOBOH_00225	CDS	489				hypothetical protein
GBJEOBOH_00226	CDS	819	lgt	2.5.1.145		Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
GBJEOBOH_00227	CDS	1212				hypothetical protein
GBJEOBOH_00228	CDS	450				hypothetical protein
GBJEOBOH_00229	CDS	1164	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
GBJEOBOH_00230	CDS	687			COG0325	Pyridoxal phosphate homeostasis protein
GBJEOBOH_00231	CDS	318				hypothetical protein
GBJEOBOH_00232	CDS	1377				hypothetical protein
GBJEOBOH_00233	CDS	1419				hypothetical protein
GBJEOBOH_00234	CDS	1836				hypothetical protein
GBJEOBOH_00235	CDS	531	fadR			Fatty acid metabolism regulator protein
GBJEOBOH_00236	CDS	642	nth_2	4.2.99.18	COG0177	Endonuclease III
GBJEOBOH_00237	CDS	498			COG1259	putative protein
GBJEOBOH_00238	CDS	1323	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
GBJEOBOH_00239	CDS	528				hypothetical protein
GBJEOBOH_00240	CDS	474	smpB		COG0691	SsrA-binding protein
GBJEOBOH_00241	CDS	969			COG0645	putative protein
GBJEOBOH_00242	CDS	1479	comM		COG0606	Competence protein ComM
GBJEOBOH_00243	CDS	396				hypothetical protein
GBJEOBOH_00244	CDS	1116	macA		COG0845	Macrolide export protein MacA
GBJEOBOH_00245	CDS	1251	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
GBJEOBOH_00246	CDS	675	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
GBJEOBOH_00247	CDS	1278	serS	6.1.1.11	COG0172	Serine--tRNA ligase
GBJEOBOH_00248	CDS	1779	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
GBJEOBOH_00249	CDS	345				hypothetical protein
GBJEOBOH_00250	CDS	1107				hypothetical protein
GBJEOBOH_00251	CDS	2871	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
GBJEOBOH_00252	CDS	2580	mutS		COG0249	DNA mismatch repair protein MutS
GBJEOBOH_00253	CDS	267				hypothetical protein
GBJEOBOH_00254	CDS	285				hypothetical protein
GBJEOBOH_00255	CDS	96				hypothetical protein
GBJEOBOH_00256	CDS	747	trmI	2.1.1.220	COG2519	tRNA (adenine(58)-N(1))-methyltransferase TrmI
GBJEOBOH_00257	CDS	840	mqnD	4.1.-.-	COG2107	1,4-dihydroxy-6-naphtoate synthase
GBJEOBOH_00258	CDS	438	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
GBJEOBOH_00259	CDS	933	phoR	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
GBJEOBOH_00260	CDS	177				hypothetical protein
GBJEOBOH_00261	CDS	675	srrA		COG0745	Transcriptional regulatory protein SrrA
GBJEOBOH_00262	CDS	597				hypothetical protein
GBJEOBOH_00263	CDS	1200	dnaA		COG0593	Chromosomal replication initiator protein DnaA
GBJEOBOH_00264	CDS	1011	iolS	1.1.1.-	COG0667	Aldo-keto reductase IolS
GBJEOBOH_00265	CDS	783	noc			Nucleoid occlusion protein
GBJEOBOH_00266	CDS	765	murI	5.1.1.3		Glutamate racemase
GBJEOBOH_00267	CDS	1062	kdtA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
GBJEOBOH_00268	CDS	771	carC	3.7.1.13		2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2,4-dienoic acid hydrolase
GBJEOBOH_00269	CDS	450				putative protein aq_328
GBJEOBOH_00270	CDS	882	COQ7	1.14.99.60		5-demethoxyubiquinone hydroxylase, mitochondrial
GBJEOBOH_00271	tRNA	88				tRNA-Leu(gag)
GBJEOBOH_00272	CDS	1017	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
GBJEOBOH_00273	CDS	276				hypothetical protein
GBJEOBOH_00274	CDS	591				hypothetical protein
GBJEOBOH_00275	tRNA	75				tRNA-Gly(gcc)
GBJEOBOH_00276	tRNA	75				tRNA-Cys(gca)
GBJEOBOH_00277	CDS	654	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
GBJEOBOH_00278	CDS	1758				hypothetical protein
GBJEOBOH_00279	CDS	285				hypothetical protein
GBJEOBOH_00280	CDS	492	cph2			Phytochrome-like protein cph2
GBJEOBOH_00281	CDS	774	mazG	3.6.1.1	COG1694	Nucleoside triphosphate pyrophosphohydrolase/pyrophosphatase MazG
GBJEOBOH_00282	CDS	900	arsA	7.3.2.7		Arsenical pump-driving ATPase
GBJEOBOH_00283	CDS	933	hldD_2	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
GBJEOBOH_00284	CDS	270				hypothetical protein
GBJEOBOH_00285	CDS	1878				hypothetical protein
GBJEOBOH_00286	CDS	579	pth	3.1.1.29		Peptidyl-tRNA hydrolase
GBJEOBOH_00287	CDS	456				hypothetical protein
GBJEOBOH_00288	CDS	1221	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
GBJEOBOH_00289	CDS	1905	leuS_1	6.1.1.4	COG0495	Leucine--tRNA ligase subunit alpha
GBJEOBOH_00290	CDS	738	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
GBJEOBOH_00291	CDS	1587	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
GBJEOBOH_00292	CDS	267				hypothetical protein
GBJEOBOH_00293	CDS	1929	dinG	3.1.-.-		3'-5' exonuclease DinG
GBJEOBOH_00294	CDS	1071				hypothetical protein
GBJEOBOH_00295	CDS	744	pgk/tpi		COG0126	Bifunctional PGK/TIM
GBJEOBOH_00296	CDS	315				hypothetical protein
GBJEOBOH_00297	CDS	798				hypothetical protein
GBJEOBOH_00298	CDS	423				hypothetical protein
GBJEOBOH_00299	CDS	378	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
GBJEOBOH_00300	CDS	1713	proS	6.1.1.15	COG0442	Proline--tRNA ligase
GBJEOBOH_00301	CDS	2553				hypothetical protein
	repeat_region	231				
GBJEOBOH_00302	CDS	282	cas2	3.1.-.-	COG1343	CRISPR-associated endoribonuclease Cas2
GBJEOBOH_00303	CDS	951	cas1	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
GBJEOBOH_00304	CDS	528				hypothetical protein
GBJEOBOH_00305	CDS	2190				hypothetical protein
GBJEOBOH_00306	CDS	1596				hypothetical protein
GBJEOBOH_00307	CDS	660				hypothetical protein
GBJEOBOH_00308	CDS	1074				hypothetical protein
GBJEOBOH_00309	CDS	942				hypothetical protein
GBJEOBOH_00310	CDS	336				hypothetical protein
GBJEOBOH_00311	CDS	1362				hypothetical protein
GBJEOBOH_00312	CDS	1122				hypothetical protein
GBJEOBOH_00313	CDS	900				hypothetical protein
GBJEOBOH_00314	CDS	888				hypothetical protein
GBJEOBOH_00315	CDS	744				hypothetical protein
GBJEOBOH_00316	CDS	201				hypothetical protein
GBJEOBOH_00317	CDS	402				hypothetical protein
GBJEOBOH_00318	CDS	888				hypothetical protein
GBJEOBOH_00319	CDS	978				hypothetical protein
GBJEOBOH_00320	CDS	1866				hypothetical protein
GBJEOBOH_00321	CDS	906				hypothetical protein
GBJEOBOH_00322	CDS	264	flhB_1		COG1377	Flagellar biosynthetic protein FlhB
GBJEOBOH_00323	CDS	240	tusA_1		COG0425	Sulfur carrier protein TusA
GBJEOBOH_00324	CDS	549	dsrE2		COG2210	Sulfur carrier protein DsrE2
GBJEOBOH_00325	CDS	426				hypothetical protein
GBJEOBOH_00326	CDS	753				hypothetical protein
GBJEOBOH_00327	CDS	669				hypothetical protein
GBJEOBOH_00328	CDS	528				hypothetical protein
GBJEOBOH_00329	CDS	1059		1.18.1.2		Ferredoxin--NADP reductase
GBJEOBOH_00330	CDS	819				hypothetical protein
GBJEOBOH_00331	CDS	762				hypothetical protein
GBJEOBOH_00332	CDS	996	sdhE	1.3.5.-	COG2048	8-methylmenaquinol:fumarate reductase membrane anchor subunit
GBJEOBOH_00333	CDS	408				hypothetical protein
GBJEOBOH_00334	CDS	447	gcvH_1		COG0509	Glycine cleavage system H protein
GBJEOBOH_00335	CDS	1026				hypothetical protein
GBJEOBOH_00336	CDS	1143	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
GBJEOBOH_00337	CDS	642				hypothetical protein
GBJEOBOH_00338	CDS	612		1.18.1.2		Ferredoxin--NADP reductase
GBJEOBOH_00339	CDS	525				hypothetical protein
GBJEOBOH_00340	CDS	876	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
GBJEOBOH_00341	CDS	1116	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
	repeat_region	292				
GBJEOBOH_00342	CDS	2475		2.7.7.-	COG0517	A-adding tRNA nucleotidyltransferase
GBJEOBOH_00343	CDS	717	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
GBJEOBOH_00344	CDS	1320				hypothetical protein
GBJEOBOH_00345	CDS	1146	gerN		COG0475	Na(+)/H(+)-K(+) antiporter GerN
GBJEOBOH_00346	CDS	1047	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
GBJEOBOH_00347	CDS	660	lolD_2	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
GBJEOBOH_00348	CDS	264				hypothetical protein
GBJEOBOH_00349	CDS	402	xcpT		COG2165	Type II secretion system protein G
GBJEOBOH_00350	CDS	333				hypothetical protein
GBJEOBOH_00351	CDS	348				hypothetical protein
GBJEOBOH_00352	CDS	1122		2.6.1.1		Aspartate aminotransferase
