locus_tag	ftype	length_bp	gene	EC_number	COG	product
DOCPLECE_00039	CDS	114				hypothetical protein
DOCPLECE_00040	CDS	744				hypothetical protein
DOCPLECE_00041	CDS	987				hypothetical protein
DOCPLECE_00042	CDS	1131				hypothetical protein
DOCPLECE_00043	CDS	1413	algA		COG0662	Alginate biosynthesis protein AlgA
DOCPLECE_00044	CDS	1146	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
DOCPLECE_00045	CDS	933	colC	1.1.1.356		GDP-L-colitose synthase
DOCPLECE_00046	CDS	999	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
DOCPLECE_00047	CDS	2274	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
DOCPLECE_00048	CDS	993	aguA	3.5.3.12	COG2957	Agmatine deiminase
DOCPLECE_00049	CDS	693	dpnA_1	2.1.1.72		Modification methylase DpnIIB
DOCPLECE_00050	CDS	558				hypothetical protein
DOCPLECE_00051	CDS	1032				hypothetical protein
DOCPLECE_00052	CDS	786				hypothetical protein
DOCPLECE_00053	CDS	1491	putP		COG0591	High-affinity proline transporter PutP
DOCPLECE_00054	CDS	3558	rocA	1.2.1.88		1-pyrroline-5-carboxylate dehydrogenase
DOCPLECE_00055	CDS	210				hypothetical protein
DOCPLECE_00056	CDS	93				hypothetical protein
DOCPLECE_00057	CDS	663				hypothetical protein
DOCPLECE_00058	CDS	309				hypothetical protein
DOCPLECE_00059	CDS	984	smc			Chromosome partition protein Smc
DOCPLECE_00060	CDS	432				hypothetical protein
DOCPLECE_00061	CDS	168				hypothetical protein
DOCPLECE_00062	CDS	1569				hypothetical protein
DOCPLECE_00063	CDS	132				hypothetical protein
DOCPLECE_00064	CDS	570				hypothetical protein
DOCPLECE_00065	CDS	261				hypothetical protein
DOCPLECE_00066	CDS	1503				hypothetical protein
DOCPLECE_00067	CDS	420				hypothetical protein
DOCPLECE_00068	CDS	354				hypothetical protein
DOCPLECE_00069	CDS	2421				hypothetical protein
DOCPLECE_00070	CDS	798	ureH		COG0829	Urease accessory protein UreH
DOCPLECE_00071	CDS	600	ureG		COG0378	Urease accessory protein UreG
DOCPLECE_00072	CDS	753	ureF		COG0830	Urease accessory protein UreF
DOCPLECE_00073	CDS	513	ureE		COG2371	Urease accessory protein UreE
DOCPLECE_00074	CDS	588	ureI			Acid-activated urea channel
DOCPLECE_00075	CDS	1710	ureB	3.5.1.5	COG0804	Urease subunit beta
DOCPLECE_00076	CDS	717	ureA	3.5.1.5	COG0831	Urease subunit alpha
DOCPLECE_00077	tRNA	76				tRNA-Val(gac)
DOCPLECE_00078	CDS	492	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
DOCPLECE_00079	CDS	1338	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
DOCPLECE_00080	CDS	270	rpsT		COG0268	30S ribosomal protein S20
DOCPLECE_00081	CDS	1059	prfA		COG0216	Peptide chain release factor RF1
DOCPLECE_00082	CDS	768				hypothetical protein
DOCPLECE_00083	CDS	1773				hypothetical protein
DOCPLECE_00084	CDS	2022				hypothetical protein
DOCPLECE_00085	CDS	390	rpsI		COG0103	30S ribosomal protein S9
DOCPLECE_00086	CDS	426	rplM		COG0102	50S ribosomal protein L13
DOCPLECE_00087	CDS	189				hypothetical protein
DOCPLECE_00088	CDS	1353	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
DOCPLECE_00089	CDS	1374				hypothetical protein
DOCPLECE_00090	CDS	2046	rpoD		COG0568	RNA polymerase sigma factor RpoD
DOCPLECE_00091	CDS	696	mtnN	3.2.2.30	COG0775	Aminodeoxyfutalosine nucleosidase
DOCPLECE_00092	CDS	930	fenF	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
DOCPLECE_00093	tRNA	92				tRNA-Ser(gct)
DOCPLECE_00094	CDS	219	mboIR_1	3.1.21.4		Type-2 restriction enzyme MboI
DOCPLECE_00095	CDS	204				hypothetical protein
DOCPLECE_00096	CDS	282	mboIR_2	3.1.21.4		Type-2 restriction enzyme MboI
DOCPLECE_00097	CDS	834				hypothetical protein
DOCPLECE_00098	CDS	441	wbnK	2.4.1.308		O-antigen biosynthesis glycosyltransferase WbnK
DOCPLECE_00099	CDS	423				hypothetical protein
DOCPLECE_00100	CDS	531				hypothetical protein
DOCPLECE_00101	CDS	945		1.-.-.-	COG1052	Putative 2-hydroxyacid dehydrogenase
DOCPLECE_00102	CDS	714				hypothetical protein
DOCPLECE_00103	CDS	1461	thrC	4.2.3.1	COG0498	Threonine synthase
DOCPLECE_00104	CDS	2028	pctB		COG0840	Methyl-accepting chemotaxis protein PctB
DOCPLECE_00105	CDS	1107	queH	1.17.99.6	COG1636	Epoxyqueuosine reductase QueH
DOCPLECE_00106	CDS	762				hypothetical protein
DOCPLECE_00107	CDS	783				hypothetical protein
DOCPLECE_00108	CDS	1695	mcp4		COG0840	Methyl-accepting chemotaxis protein 4
DOCPLECE_00109	CDS	1746	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
DOCPLECE_00110	CDS	459	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
DOCPLECE_00111	CDS	1143	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
DOCPLECE_00112	CDS	918	cysM	2.5.1.47	COG0031	Cysteine synthase
DOCPLECE_00113	CDS	459				hypothetical protein
DOCPLECE_00114	CDS	1863	dnaK			Chaperone protein DnaK
DOCPLECE_00115	CDS	576	grpE			Protein GrpE
DOCPLECE_00116	CDS	801	hrcA			Heat-inducible transcription repressor HrcA
DOCPLECE_00117	CDS	639				hypothetical protein
DOCPLECE_00118	CDS	297				hypothetical protein
DOCPLECE_00119	CDS	1884				hypothetical protein
DOCPLECE_00120	CDS	1545	flaB		COG1344	Flagellin B
DOCPLECE_00121	CDS	2211	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
DOCPLECE_00122	CDS	927	moaA_1			GTP 3',8-cyclase
DOCPLECE_00123	CDS	1239				hypothetical protein
DOCPLECE_00124	CDS	2439	ppsA	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
DOCPLECE_00125	CDS	1839	thrZ	6.1.1.3	COG0441	Threonine--tRNA ligase 2
DOCPLECE_00126	CDS	612	infC		COG0290	Translation initiation factor IF-3
DOCPLECE_00127	CDS	195				hypothetical protein
DOCPLECE_00128	CDS	351	rplT		COG0292	50S ribosomal protein L20
DOCPLECE_00129	CDS	861				hypothetical protein
DOCPLECE_00130	CDS	432				hypothetical protein
DOCPLECE_00131	CDS	858				hypothetical protein
DOCPLECE_00132	CDS	1368	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
DOCPLECE_00133	CDS	1242	sdaC		COG0814	Serine transporter
DOCPLECE_00134	CDS	1350	aroH	2.5.1.54	COG3200	Phospho-2-dehydro-3-deoxyheptonate aldolase
DOCPLECE_00135	CDS	135				hypothetical protein
DOCPLECE_00136	CDS	459	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
DOCPLECE_00137	CDS	636			COG1556	putative protein
DOCPLECE_00138	CDS	1446	lutB		COG1139	Lactate utilization protein B
DOCPLECE_00139	CDS	729	lutA		COG0247	Lactate utilization protein A
DOCPLECE_00140	CDS	1650	lldP_1		COG1620	L-lactate permease
DOCPLECE_00141	CDS	1656	lldP_2		COG1620	L-lactate permease
DOCPLECE_00142	CDS	987	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
DOCPLECE_00143	CDS	1449	ttdT		COG0471	L-tartrate/succinate antiporter
DOCPLECE_00144	CDS	1467	ccoN1	1.9.3.1	COG3278	Cbb3-type cytochrome c oxidase subunit CcoN1
DOCPLECE_00145	CDS	699				hypothetical protein
DOCPLECE_00146	CDS	219				hypothetical protein
DOCPLECE_00147	CDS	879	ccoP		COG2010	Cbb3-type cytochrome c oxidase subunit CcoP
DOCPLECE_00148	CDS	207				hypothetical protein
DOCPLECE_00149	CDS	108				hypothetical protein
DOCPLECE_00150	CDS	594				hypothetical protein
DOCPLECE_00151	CDS	582				hypothetical protein
DOCPLECE_00152	CDS	768				hypothetical protein
DOCPLECE_00153	CDS	864	mqnD	4.1.-.-	COG2107	1,4-dihydroxy-6-naphtoate synthase
DOCPLECE_00154	CDS	1044	recA		COG0468	Protein RecA
DOCPLECE_00155	CDS	1281	eno	4.2.1.11	COG0148	Enolase
DOCPLECE_00156	CDS	276				hypothetical protein
DOCPLECE_00157	CDS	597				hypothetical protein
DOCPLECE_00158	CDS	489	aroK	2.7.1.71	COG0703	Shikimate kinase
DOCPLECE_00159	CDS	957				hypothetical protein
DOCPLECE_00160	CDS	1134				hypothetical protein
DOCPLECE_00161	CDS	918	hcpD	3.5.2.6	COG0790	Putative beta-lactamase HcpD
DOCPLECE_00162	CDS	723			COG0217	putative transcriptional regulatory protein
DOCPLECE_00163	CDS	972	hemB	4.2.1.24		Delta-aminolevulinic acid dehydratase
DOCPLECE_00164	CDS	1329				hypothetical protein
DOCPLECE_00165	CDS	678	arlR		COG0745	Response regulator ArlR
DOCPLECE_00166	CDS	474				hypothetical protein
DOCPLECE_00167	CDS	264				hypothetical protein
DOCPLECE_00168	CDS	1269				hypothetical protein
DOCPLECE_00169	CDS	732				hypothetical protein
DOCPLECE_00170	CDS	1092	prfB		COG1186	Peptide chain release factor RF2
DOCPLECE_00171	CDS	1173	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
DOCPLECE_00172	CDS	768	fliR		COG1684	Flagellar biosynthetic protein FliR
DOCPLECE_00173	CDS	729				hypothetical protein
DOCPLECE_00174	CDS	900		5.2.1.8	COG0760	Putative peptidyl-prolyl cis-trans isomerase
DOCPLECE_00175	CDS	924	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
DOCPLECE_00176	CDS	564	efp		COG0231	Elongation factor P
DOCPLECE_00177	CDS	1347				hypothetical protein
DOCPLECE_00178	CDS	1221	ydjA	3.1.21.4		Type-2 restriction enzyme BsuMI component YdjA
DOCPLECE_00179	CDS	1023	pseI	2.5.1.97	COG2089	Pseudaminic acid synthase
DOCPLECE_00180	CDS	642	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
DOCPLECE_00181	CDS	1278	lnt	2.3.1.269		Apolipoprotein N-acyltransferase
DOCPLECE_00182	CDS	711				hypothetical protein
DOCPLECE_00183	CDS	1506	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
DOCPLECE_00184	CDS	1251	glyA	2.1.2.1		Serine hydroxymethyltransferase
DOCPLECE_00185	CDS	543				hypothetical protein
DOCPLECE_00186	CDS	807				hypothetical protein
DOCPLECE_00187	CDS	1704				hypothetical protein
DOCPLECE_00188	CDS	534				hypothetical protein
DOCPLECE_00189	CDS	1509	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
DOCPLECE_00190	CDS	738	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
DOCPLECE_00191	CDS	2145	frdA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
DOCPLECE_00192	CDS	768	frdC		COG2009	Fumarate reductase cytochrome b subunit
DOCPLECE_00193	CDS	705	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
DOCPLECE_00194	CDS	828	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
DOCPLECE_00195	CDS	1011	lpxD	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
DOCPLECE_00196	CDS	1158	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
DOCPLECE_00197	CDS	414	ndk	2.7.4.6		Nucleoside diphosphate kinase
DOCPLECE_00198	CDS	357				hypothetical protein
DOCPLECE_00199	CDS	147				hypothetical protein
DOCPLECE_00200	CDS	1020	plsX	2.3.1.274		Phosphate acyltransferase
DOCPLECE_00201	CDS	996	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
DOCPLECE_00202	CDS	303				hypothetical protein
DOCPLECE_00203	CDS	384				hypothetical protein
DOCPLECE_00204	CDS	2745				hypothetical protein
DOCPLECE_00205	CDS	258				hypothetical protein
DOCPLECE_00206	CDS	1107	apbC		COG0489	Iron-sulfur cluster carrier protein
DOCPLECE_00207	CDS	1050				hypothetical protein
DOCPLECE_00208	CDS	114				hypothetical protein
DOCPLECE_00209	CDS	1317				hypothetical protein
DOCPLECE_00210	CDS	1866	htpG		COG0326	Chaperone protein HtpG
DOCPLECE_00211	CDS	753	hcpA	3.5.2.6	COG0790	Beta-lactamase HcpA
DOCPLECE_00212	CDS	1167	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
DOCPLECE_00213	CDS	1866	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
DOCPLECE_00214	CDS	1647	sdcS			Sodium-dependent dicarboxylate transporter SdcS
DOCPLECE_00215	CDS	801				hypothetical protein
DOCPLECE_00216	CDS	1107	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
DOCPLECE_00217	CDS	522				hypothetical protein
DOCPLECE_00218	CDS	528				hypothetical protein
DOCPLECE_00219	CDS	627				hypothetical protein
DOCPLECE_00220	CDS	504				hypothetical protein
DOCPLECE_00221	CDS	1164	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
DOCPLECE_00222	CDS	981				hypothetical protein
DOCPLECE_00223	CDS	261				hypothetical protein
DOCPLECE_00224	CDS	1347	radA	3.6.4.-	COG1066	DNA repair protein RadA
DOCPLECE_00225	CDS	1023	msrAB			Peptide methionine sulfoxide reductase msrA/msrB
DOCPLECE_00226	CDS	834				hypothetical protein
DOCPLECE_00227	CDS	2091				hypothetical protein
DOCPLECE_00228	CDS	1158	dauA		COG0659	C4-dicarboxylic acid transporter DauA
DOCPLECE_00229	tRNA	75				tRNA-Asn(gtt)
DOCPLECE_00230	CDS	1452				hypothetical protein
DOCPLECE_00231	CDS	732	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
DOCPLECE_00232	CDS	798				hypothetical protein
DOCPLECE_00233	CDS	648				hypothetical protein
DOCPLECE_00234	CDS	1173	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
DOCPLECE_00235	CDS	531				hypothetical protein
DOCPLECE_00236	CDS	1068				hypothetical protein
DOCPLECE_00237	CDS	372				hypothetical protein
DOCPLECE_00238	CDS	921	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
DOCPLECE_00239	CDS	1731	proS	6.1.1.15	COG0442	Proline--tRNA ligase
DOCPLECE_00240	CDS	1350	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
DOCPLECE_00241	CDS	924	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
DOCPLECE_00242	CDS	396				hypothetical protein
DOCPLECE_00243	CDS	285				hypothetical protein
DOCPLECE_00244	CDS	435	dps	1.16.-.-	COG0783	DNA protection during starvation protein
DOCPLECE_00245	CDS	1146				hypothetical protein
DOCPLECE_00246	CDS	318				hypothetical protein
DOCPLECE_00247	CDS	1029	flgI			Flagellar P-ring protein
DOCPLECE_00248	CDS	1476	rhpA	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase RhpA
DOCPLECE_00249	CDS	1089				hypothetical protein
DOCPLECE_00250	CDS	540				hypothetical protein
DOCPLECE_00251	CDS	1551	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
DOCPLECE_00252	CDS	1017	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
DOCPLECE_00253	tRNA	76				tRNA-Ala(ggc)
DOCPLECE_00254	CDS	1440				hypothetical protein
DOCPLECE_00255	CDS	1416				hypothetical protein
DOCPLECE_00256	CDS	1236	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
DOCPLECE_00257	CDS	429				hypothetical protein
DOCPLECE_00258	CDS	669				hypothetical protein
DOCPLECE_00259	CDS	1053	mmpA	3.4.24.-	COG0750	Metalloprotease MmpA
DOCPLECE_00260	CDS	1263	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
DOCPLECE_00261	CDS	1173				hypothetical protein
DOCPLECE_00262	CDS	477				hypothetical protein
DOCPLECE_00263	CDS	495				hypothetical protein
DOCPLECE_00264	CDS	174				hypothetical protein
DOCPLECE_00265	CDS	759	dpnA_2	2.1.1.72		Modification methylase DpnIIB
DOCPLECE_00266	CDS	2571	clpB			Chaperone protein ClpB
DOCPLECE_00267	CDS	720	dipZ		COG0785	Protein DipZ
DOCPLECE_00268	CDS	1137	pyrC_1	3.5.2.3	COG0044	Dihydroorotase
DOCPLECE_00269	CDS	1230		3.5.4.4	COG0402	Adenosine deaminase
DOCPLECE_00270	CDS	243				hypothetical protein
DOCPLECE_00271	CDS	1314	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
DOCPLECE_00272	CDS	654				hypothetical protein
DOCPLECE_00273	CDS	1014				hypothetical protein
DOCPLECE_00274	CDS	534				hypothetical protein
DOCPLECE_00275	CDS	540				hypothetical protein
DOCPLECE_00276	CDS	399				hypothetical protein
DOCPLECE_00277	CDS	1296				hypothetical protein
DOCPLECE_00278	CDS	558	trpC_1	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
DOCPLECE_00279	CDS	255	fdx		COG1145	Ferredoxin
DOCPLECE_00280	CDS	1455	ppx	3.6.1.11	COG0248	Exopolyphosphatase
DOCPLECE_00281	CDS	1011	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
DOCPLECE_00282	CDS	987	lpxL	2.3.1.241		Lipid A biosynthesis lauroyltransferase
DOCPLECE_00283	CDS	1116	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
DOCPLECE_00284	CDS	1437				hypothetical protein
DOCPLECE_00285	CDS	1032	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
DOCPLECE_00286	CDS	1572				hypothetical protein
DOCPLECE_00287	CDS	1257	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
DOCPLECE_00288	CDS	1653	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
DOCPLECE_00289	CDS	519				hypothetical protein
DOCPLECE_00290	CDS	474				hypothetical protein
DOCPLECE_00291	CDS	8709				hypothetical protein
DOCPLECE_00292	CDS	1218	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
DOCPLECE_00293	CDS	303				hypothetical protein
DOCPLECE_00294	CDS	873				hypothetical protein
DOCPLECE_00295	CDS	1704	menF	5.4.4.2		Isochorismate synthase MenF
DOCPLECE_00296	CDS	1020	amiE	3.5.1.4	COG0388	Aliphatic amidase
DOCPLECE_00297	CDS	2487				hypothetical protein
DOCPLECE_00298	CDS	315	rplU		COG0261	50S ribosomal protein L21
DOCPLECE_00299	CDS	267	rpmA		COG0211	50S ribosomal protein L27
DOCPLECE_00300	CDS	1641	hbpA		COG0747	Heme-binding protein A
DOCPLECE_00301	CDS	1005	dppB		COG0601	Dipeptide transport system permease protein DppB
DOCPLECE_00302	CDS	228	dppC_1		COG1173	Dipeptide transport system permease protein DppC
DOCPLECE_00303	CDS	579	dppC_2		COG1173	Dipeptide transport system permease protein DppC
DOCPLECE_00304	CDS	864	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
DOCPLECE_00305	CDS	807	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
DOCPLECE_00306	CDS	1083	obg	3.6.5.-		GTPase Obg
DOCPLECE_00307	CDS	996				hypothetical protein
DOCPLECE_00308	CDS	555				hypothetical protein
DOCPLECE_00309	CDS	1293	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
DOCPLECE_00310	CDS	279				hypothetical protein
DOCPLECE_00311	CDS	405				hypothetical protein
DOCPLECE_00312	CDS	885	yafV	3.5.1.3		Omega-amidase YafV
DOCPLECE_00313	CDS	882	pgdA	3.5.1.-		Peptidoglycan deacetylase
DOCPLECE_00314	CDS	369				hypothetical protein
DOCPLECE_00315	CDS	966	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
DOCPLECE_00316	CDS	1146				hypothetical protein
DOCPLECE_00317	CDS	756				hypothetical protein
DOCPLECE_00318	CDS	702	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
DOCPLECE_00319	CDS	756	hugZ	1.14.99.-	COG0748	Heme oxygenase HugZ
DOCPLECE_00320	CDS	1626	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
DOCPLECE_00321	CDS	240	tatA			Sec-independent protein translocase protein TatA
DOCPLECE_00322	CDS	621	gmk	2.7.4.8	COG0194	Guanylate kinase
DOCPLECE_00323	CDS	1506				hypothetical protein
DOCPLECE_00324	CDS	543		2.7.8.-		Cardiolipin synthase
DOCPLECE_00325	CDS	738				hypothetical protein
DOCPLECE_00326	CDS	714	flgH			Flagellar L-ring protein
DOCPLECE_00327	CDS	690	neuA	2.7.7.43		N-acylneuraminate cytidylyltransferase
DOCPLECE_00328	CDS	873				hypothetical protein
DOCPLECE_00329	CDS	543	pseH	2.3.1.202	COG1670	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
DOCPLECE_00330	CDS	939	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
DOCPLECE_00331	CDS	783	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
DOCPLECE_00332	tRNA	77				tRNA-Arg(gcg)
DOCPLECE_00333	CDS	993	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
DOCPLECE_00334	CDS	807	minD		COG2894	Septum site-determining protein MinD
DOCPLECE_00335	CDS	234	minE		COG0851	Cell division topological specificity factor
DOCPLECE_00336	CDS	801				hypothetical protein
DOCPLECE_00337	CDS	405	yqgF	3.1.-.-		Putative pre-16S rRNA nuclease
DOCPLECE_00338	CDS	789	hcpC_1	3.5.2.6	COG0790	Putative beta-lactamase HcpC
DOCPLECE_00339	CDS	138				hypothetical protein
DOCPLECE_00340	CDS	339				hypothetical protein
DOCPLECE_00341	CDS	561				hypothetical protein
DOCPLECE_00342	CDS	882		5.4.99.-	COG0564	putative RNA pseudouridine synthase
DOCPLECE_00343	CDS	1551	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
DOCPLECE_00344	CDS	1617	pyrG	6.3.4.2	COG0504	CTP synthase
DOCPLECE_00345	CDS	663				hypothetical protein
DOCPLECE_00346	CDS	1704				hypothetical protein
DOCPLECE_00347	CDS	1032	fliG		COG1536	Flagellar motor switch protein FliG
DOCPLECE_00348	CDS	771				hypothetical protein
DOCPLECE_00349	CDS	1851	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
DOCPLECE_00350	CDS	1815	lepA	3.6.5.-		Elongation factor 4
DOCPLECE_00351	CDS	759				hypothetical protein
DOCPLECE_00352	CDS	297				hypothetical protein
DOCPLECE_00353	CDS	261				hypothetical protein
DOCPLECE_00354	CDS	810	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
DOCPLECE_00355	CDS	1314	kgtP			Alpha-ketoglutarate permease
DOCPLECE_00356	CDS	2535				hypothetical protein
DOCPLECE_00357	CDS	2337				hypothetical protein
DOCPLECE_00358	CDS	1926	tkt	2.2.1.1		Transketolase
DOCPLECE_00359	CDS	843	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
DOCPLECE_00360	CDS	708	tlyA	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
DOCPLECE_00361	CDS	510				hypothetical protein
DOCPLECE_00362	CDS	924	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
DOCPLECE_00363	CDS	1440				hypothetical protein
DOCPLECE_00364	CDS	1656	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
DOCPLECE_00365	CDS	624				hypothetical protein
DOCPLECE_00366	CDS	570				hypothetical protein
DOCPLECE_00367	CDS	1146		3.6.1.-	COG1106	ATP/GTP phosphatase
DOCPLECE_00368	CDS	504				hypothetical protein
DOCPLECE_00369	CDS	996	nixA		COG3376	High-affinity nickel-transport protein NixA
DOCPLECE_00370	CDS	522				hypothetical protein
DOCPLECE_00371	CDS	1317				hypothetical protein
DOCPLECE_00372	CDS	819				hypothetical protein
DOCPLECE_00373	CDS	201	copP		COG2608	COP-associated protein
DOCPLECE_00374	CDS	2238	copA_1	7.2.2.8		Copper-exporting P-type ATPase
DOCPLECE_00375	CDS	714				hypothetical protein
DOCPLECE_00376	CDS	1899	ftsH_2	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
